n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
1,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,yes,True,annotation/convention,patient-derived clones reported; QSP rule says Yes; all 5 models agree
2,36795586,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,partial,False,model error,genotype-testing availability is not sequence reporting; other 4 models correct
3,36931676,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,yes,False,model error,cohort paper does report stored pol sequences; other models correct
4,37593123,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,yes,False,annotation/convention,"sequences compiled from China CDC/LANL; QSP rule says No for database compilations, curators say Yes"
5,36660819,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,borderline,phenotypic resistance listed as an endpoint but no data shown
6,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,partial,False,borderline,susceptibility data attributed to a prior publication; 2 GPT-4o conditions also said Yes
7,37340869,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,model error,only a citation to methodology in a supplement; all other models said No
8,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,partial,False,borderline,reuses PhenoSense fold-ratio data from a database; all 3 GPT-4o conditions also said Yes
9,41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,borderline,PhenoSense Gag-Pro assay stated at study entry; QSP rule supports Yes
10,41091504,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,borderline,"enzyme Ki values reused from published data, not viral phenotyping"
11,38005921,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,yes,False,model error,datasets are provided in supplementary material; other models said Yes
12,31988104,5,Number,How many individuals had samples obtained for HIV sequencing?,0,14,yes,False,annotation/convention,same boundary as row 1: 14 patient-derived clones vs annotation 0
13,33855437,5,Number,How many individuals had samples obtained for HIV sequencing?,6,5357,yes,False,model error,"counted the 5357-person database prevalence analysis, not the 6 isolates sequenced"
14,36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,154,yes,False,model error,counted historical EHR genotypes rather than the study's own sequencing
15,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,yes,True,annotation/convention,all 5 models wrong; annotation 14 vs the 112-person genotyped cohort
16,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,14,yes,True,annotation/convention,annotation is '8 and 10' (two subgroup counts); all 5 models wrong
17,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,1431,yes,False,model error,counted the genotype-evaluable subset (1431) instead of 1651; Kimi correct
18,37515146,5,Number,How many individuals had samples obtained for HIV sequencing?,379,391,yes,False,annotation/convention,QID 5 counting: 391 sampled vs 379 successfully sequenced
19,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,yes,False,model error,case report with resistance data; answered 0
20,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,0,partial,False,annotation/convention,cascade from row 4; GPT-4o FT answered 57902
21,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,110,n/a,True,annotation/convention,all 5 models wrong; annotation 551 vs 110 successfully amplified
22,40713598,5,Number,How many individuals had samples obtained for HIV sequencing?,20,96,partial,False,annotation/convention,QID 5 counting: 96 attempted vs 20 sequenced
23,40763144,5,Number,How many individuals had samples obtained for HIV sequencing?,295,363,NO,False,annotation/convention,QID 5 counting: 363 attempted vs 295 sequenced
24,40839365,5,Number,How many individuals had samples obtained for HIV sequencing?,212,288,partial,False,annotation/convention,QID 5 counting: 213+75 genotyped groups vs annotation 212
25,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,1260,yes,False,annotation/convention,QID 5 counting: 1260 enrolled vs 1048 analysed
26,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,Not reported,NO,False,model error,answered 'Not reported' though 241/223 are stated; FT+QSP got 223
27,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,yes,True,annotation/convention,all 5 models wrong; annotation 10 vs 182 dosed participants
28,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,77,yes,True,annotation/convention,all 5 models wrong; annotation 64 vs 77 tested
29,36795586,6,List,From which countries were the sequenced samples obtained?,Not reported,Botswana; Eswatini; Lesotho; Malawi; Tanzania; Uganda,partial,False,model error,cascade from its own wrong QID 1=Yes; listed countries of care
30,36931676,6,List,From which countries were the sequenced samples obtained?,Sweden,Not applicable,partial,False,model error,cascade from its own wrong QID 1=No; Sweden is stated
31,37340869,6,List,From which countries were the sequenced samples obtained?,Not reported,Russia,partial,False,borderline,only Russia is named in the main text; annotation says Not reported
32,37593123,6,List,From which countries were the sequenced samples obtained?,China,Not applicable,yes,False,annotation/convention,cascade from row 4
33,37957382,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,yes,False,borderline,USA inferred from the institution; annotation says Not reported
34,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland",Poland,partial,False,model error,"listed Poland only, missing Ukraine"
35,38152686,6,List,From which countries were the sequenced samples obtained?,Not reported,Brazil,yes,False,borderline,Brazil inferred from the ethics committee; annotation says Not reported
36,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),United States; Dominican Republic,partial,True,annotation/convention,paper names USA + Dominican Republic; annotation hedges 'Not provided (multicenter trial)'; all 5 models wrong
37,41130593,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),South Africa,yes,False,borderline,South Africa is the only country named; annotation hedges
38,36597160,7,List,From what years were the sequenced samples obtained?,2014,Not reported,partial,False,model error,answered 'Not reported' though 2014-2015 is stated; all other models correct
39,37574435,7,List,From what years were the sequenced samples obtained?,2016-2022,Not reported,yes,False,model error,answered 'Not reported' though 2016-2022 is stated; all other models correct
40,37593123,7,List,From what years were the sequenced samples obtained?,2004-2022,Not applicable,yes,False,annotation/convention,cascade from row 4
