PMID,QID,Question,Type,Category,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
18715920,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
18715920,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
18715920,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Unknown
18715920,6,From which countries were the sequenced samples obtained?,List,Demographics,Unknown
18715920,7,From what years were the sequenced samples obtained?,List,Demographics,Unknown
18715920,8,Were samples cloned prior to sequencing?,Boolean,Technical,Unknown
18715920,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase (IN) gene
18715920,10,What method was used for sequencing?,List,Technical,Automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)
18715920,11,What type of samples were sequenced?,List,Technical,Viral RNA extracted from culture supernatant or virus stock
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Unknown
18715920,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Unknown
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Unknown
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
19104010,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
19104010,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
19104010,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
19104010,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
19104010,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
19104010,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
19104010,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
19104010,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN gene
19104010,10,What method was used for sequencing?,List,Technical,BigDye terminator v3.1 cycle sequencing kit
19104010,11,What type of samples were sequenced?,List,Technical,Viral passages
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
19104010,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
21115794,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
21115794,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
21115794,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
21115794,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
21115794,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
21115794,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
21115794,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
21115794,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase region
21115794,10,What method was used for sequencing?,List,Technical,Operon Biotechnologies' sequencing service
21115794,11,What type of samples were sequenced?,List,Technical,Cell cultures
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
21115794,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
23749954,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
23749954,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
23749954,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Unknown
23749954,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Unknown
23749954,6,From which countries were the sequenced samples obtained?,List,Demographics,Unknown
23749954,7,From what years were the sequenced samples obtained?,List,Demographics,Unknown
23749954,8,Were samples cloned prior to sequencing?,Boolean,Technical,Unknown
23749954,9,Which HIV genes were reported to have been sequenced?,List,Technical,Reverse transcriptase gene
23749954,10,What method was used for sequencing?,List,Technical,Unknown
23749954,11,What type of samples were sequenced?,List,Technical,Unknown
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Unknown
23749954,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Unknown
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,N(t)RTIs
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Tenofovir, didanosine, stavudine, apricitabine, and abacavir"
24227862,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
24227862,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
24227862,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
24227862,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
24227862,6,From which countries were the sequenced samples obtained?,List,Demographics,Canada
24227862,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
24227862,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
24227862,9,Which HIV genes were reported to have been sequenced?,List,Technical,Reverse transcriptase (RT) gene
24227862,10,What method was used for sequencing?,List,Technical,Not available
24227862,11,What type of samples were sequenced?,List,Technical,Cord blood mononuclear cells (CBMCs) and HEK293T cells
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
24227862,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Nonnucleoside reverse transcriptase inhibitors (NNRTIs) and nucleoside reverse transcriptase inhibitors (NRTIs)
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Etravirine (ETR), rilpivirine (RPV), efavirenz (EFV), nevirapine (NVP), zidovudine (ZDV), and emtricitabine (FTC)"
25637519,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
25637519,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
25637519,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
25637519,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
25637519,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
25637519,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
25637519,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
25637519,9,Which HIV genes were reported to have been sequenced?,List,Technical,Reverse transcriptase (RT)
25637519,10,What method was used for sequencing?,List,Technical,Not reported
25637519,11,What type of samples were sequenced?,List,Technical,Viral isolates
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
25637519,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Non-nucleoside reverse transcriptase inhibitors (NNRTIs)
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Nevirapine, efavirenz, etravirine, and rilpivirine"
26246578,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
26246578,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
26246578,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
26246578,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
26246578,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
26246578,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
26246578,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
26246578,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
26246578,10,What method was used for sequencing?,List,Technical,Not reported
26246578,11,What type of samples were sequenced?,List,Technical,Not reported
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
26246578,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Integrase inhibitors and nucleoside reverse transcriptase inhibitors
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Dolutegravir
26311878,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
26311878,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
26311878,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
26311878,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
26311878,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
26311878,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
26311878,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not explicitly stated
26311878,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase
26311878,10,What method was used for sequencing?,List,Technical,Not available
26311878,11,What type of samples were sequenced?,List,Technical,CBMCs (cord blood mononuclear cells)
26311878,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
26311878,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
26311878,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
26311878,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,INSTIs (integrase strand transfer inhibitors)
26311878,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,EVG (elvitegravir)
26559830,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
26559830,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
26559830,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
26559830,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not mentioned
26559830,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not mentioned
26559830,6,From which countries were the sequenced samples obtained?,List,Demographics,Not mentioned
26559830,7,From what years were the sequenced samples obtained?,List,Demographics,Not mentioned
26559830,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
26559830,9,Which HIV genes were reported to have been sequenced?,List,Technical,All HIV genes
26559830,10,What method was used for sequencing?,List,Technical,Not mentioned
26559830,11,What type of samples were sequenced?,List,Technical,Molecular clones
26559830,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not mentioned
26559830,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not mentioned
26559830,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not mentioned
